Растение (RU)	Штамм бактерии	BacDive ID	Род бактерии	Оптимальная Т (°C)	Класс опасности (BSL)	Источник изоляции	Источник базы
Горох	Bacillus subtilis	992	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	991	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	990	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	989	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	988	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	987	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	986	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	22919	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	22918	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	22917	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	22916	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	22915	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	130878	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	130877	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	130189	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	130188	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	130187	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	130186	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	130185	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
