source	plant	plant_latin	bacterium	genus	evidence_type	evidence_score	condition	mechanism	reference	description
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			947	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			946	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			945	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			925	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			924	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			923	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			922	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			130875	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			130874	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			130873	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			130872	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			130871	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			130870	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			130869	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			130868	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			130184	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			130183	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			158868	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			158867	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			158866	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			158865	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			158864	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			158862	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			158861	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			158860	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			157621	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			157605	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			157604	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			157603	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			169195	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
BacDive	pea		Bacillus sp.	Bacillus	database	1.0			169194	Выделен из ризосферы / тканей растения; BSL=Проверяется; BacDive DSMZ
